City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,spring creek,40.7266,-115.5859,3.78,84,100,2.98,US,1732659369
112,kerikeri,-35.2268,173.9474,22.73,70,16,0.89,NZ,1732659371
113,acarau,-2.8856,-40.12,26.71,76,3,7.62,BR,1732659372
114,la ronge,55.1001,-105.2842,-14.86,78,20,3.6,CA,1732659373
115,skare,55.3833,13.05,7.43,88,99,8.74,SE,1732659374
116,manokwari,-0.8667,134.0833,27.34,74,90,1.01,ID,1732659375
117,chimore,-16.9833,-65.1333,27.53,75,100,1.35,BO,1732659376
118,thief river falls,48.1191,-96.1812,-9.04,100,100,3.6,US,1732659378
119,detroit lakes,46.8172,-95.8453,-8.84,92,100,2.06,US,1732659379
120,kailua-kona,19.6406,-155.9956,29.2,67,20,7.72,US,1732659380
121,bairnsdale,-37.8333,147.6167,21.14,93,100,1.57,AU,1732659381
122,bubaque,11.2833,-15.8333,28.28,67,0,5.51,GW,1732659382
123,hawaiian paradise park,19.5933,-154.9731,28.28,78,40,7.2,US,1732659228
124,kapuskasing,49.4169,-82.4331,-0.95,100,100,4.12,CA,1732659385
125,carnarvon,-24.8667,113.6333,23.25,33,1,8.82,AU,1732659386
126,rancho palos verdes,33.7445,-118.387,18.97,83,75,4.63,US,1732659387
127,pisco,-13.7,-76.2167,21.03,78,0,8.75,PE,1732659262
128,chinde,26.8212,87.7095,15.06,69,28,3.02,NP,1732659389
129,karratha,-20.7377,116.8463,27.23,59,87,1.86,AU,1732659391
130,pagar alam,-4.0167,103.2667,21.07,98,100,0.48,ID,1732659392
131,kone,-21.0595,164.8658,29.91,63,100,3.06,NC,1732659393
132,kiffa,16.6166,-11.4045,26.62,12,10,4.53,MR,1732659394
133,aasiaat,68.7098,-52.8699,-10.79,74,55,5.46,GL,1732659362
134,yuzhno-kurilsk,44.0306,145.8556,6.41,87,100,12.09,RU,1732659397
135,port elizabeth,-33.918,25.5701,17.95,84,0,8.75,ZA,1732659250
136,crane,31.3974,-102.3501,21.01,30,0,4.71,US,1732659399
137,margaret river,-33.95,115.0667,10.27,78,17,2.79,AU,1732659400
138,rovaniemi,66.5,25.7167,-4.33,93,0,3.09,FI,1732659401
139,olonkinbyen,70.9221,-8.7187,-5.34,63,100,4.41,SJ,1732659402
140,lerwick,60.1545,-1.1494,4.98,70,98,5.0,GB,1732659404
141,port hedland,-20.3167,118.5667,28.03,69,100,3.09,AU,1732659315
142,lihue,21.9789,-159.3672,27.63,67,0,5.14,US,1732659406
143,dudinka,69.4058,86.1778,-1.79,86,99,7.48,RU,1732659407
144,vila velha,-20.3297,-40.2925,23.97,76,0,3.6,BR,1732659291
145,ugoofaaru,5.6667,73.0,27.28,77,94,4.5,MV,1732659409
146,san patricio,28.017,-97.5169,21.97,50,79,0.89,US,1732659411
147,dhromolaxia,34.8755,33.5868,12.07,66,75,2.06,CY,1732659412
148,port augusta,-32.5,137.7667,18.92,59,15,8.24,AU,1732659413
